state_code,state_name_english,state_name_local,state_census2011_code,district_code,district_name_english,district_name_local,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_name_local,subdistrict_census2011_code,last_updated
36,Telangana,తెలంగాణ,00,508,Karimnagar,కరీంనగర్,534,4446,Huzurabad,హుజురాబాద్,04446,2024-10-07
36,Telangana,తెలంగాణ,00,518,"Ranga Reddy","రంగా రెడ్డి",537,4546,Ibrahimpatnam,ఇబ్రహీంపట్నం,04546,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,530,Vijayapura,ವಿಜಯಾಪುರ,557,5450,Indi,ಇಂಡಿ,05450,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,94,Bundi,"BUNDI                                             ",121,624,Indragarh,,00624,2024-10-07
6,Haryana,"HARYANA                                           ",06,604,Nuh,नूँह,087,7172,Indri,ईण्डरी,00000,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,750,Bapatla,Bapatla,000,5110,Inkollu,,05110,2024-10-07
32,Kerala,"KERALA                                            ",32,557,Kannur,കണ്ണൂര്‍,589,5937,Iritty,ഇരിട്ടി,00000,2024-10-07
10,Bihar,"BIHAR                                             ",10,209,Nalanda,नालंदा,229,1392,Islampur,इस्लामपुर,01392,2024-10-07
14,Manipur,"MANIPUR                                           ",14,712,Kangpokpi,,000,6487,Island,,00000,2024-10-07
10,Bihar,"BIHAR                                             ",10,194,Buxar,बक्सर,232,1444,Itarhi,इटाढी,01444,2024-10-07
36,Telangana,తెలంగాణ,00,695,"Jogulamba Gadwal","జోగులాంబ గద్వాల",000,4607,Itikyala,ఇటిక్యాల,04607,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,182,Siddharthnagar,SIDDHARTHNAGAR,184,935,Itwa,,00935,2024-10-07
21,Odisha,ODISHA,21,354,Ganjam,"GANJAM                                            ",388,3073,"Jagannath Prasad",,03073,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,642,Sukma,सुकमा,000,7356,Jagargunda,जगरगुंडा,00000,2024-10-07
36,Telangana,తెలంగాణ,00,692,Siddipet,సిద్దిపేట,000,4484,Jagdevpur,"జగదేవ్ పూర్",04484,2024-10-07
10,Bihar,"BIHAR                                             ",10,193,Bhojpur,भोजपुर,231,1428,Jagdishpur,जगदिशपुर,01428,2024-10-07
3,Punjab,"PUNJAB                                            ",03,36,Ludhiana,ਲੂਿਧਆਣਾ,041,230,Jagraon,,00230,2024-10-07
